strDrink,Ingredients,Measure,strInstructions
Frozen Mint Daiquiri,"['Light rum', 'Lime juice', 'Mint', 'Sugar']","['2 oz ', '1 tblsp ', '6 ', '1 tsp ']",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into an old-fashioned glass and serve.
Frozen Pineapple Daiquiri,"['Light rum', 'Pineapple', 'Lime juice', 'Sugar']","['1 1/2 oz ', '4 chunks ', '1 tblsp ', '1/2 tsp ']",Combine all ingredients with 1 cup of crushed ice in an electric blender. Blend at a low speed for a short length of time. Pour into a champagne flute and serve.
Fruit Flip-Flop,"['Yoghurt', 'Fruit juice']","['1 cup ', '1 cup ']","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
Fruit Shake,"['Yoghurt', 'Banana', 'Orange juice', 'Fruit', 'Ice']","['1 cup fruit ', '1 ', '4 oz frozen ', '1/2 piece textural ', '6 ']",Blend til smooth.
Fuzzy Asshole,"['Coffee', 'Peach schnapps']","['1/2 ', '1/2 ']",fill coffe mug half full of coffee. Fill the other half full of Peach Schnapps. Stir and drink while hot.
Gagliardo,"['Peach Vodka', 'Lemon juice', 'Galliano', 'Sirup of roses']","['5 parts ', '3 parts ', '1 part ', '1 part ']","Shake well and serve in a cocktail glass. This is a home cocktail of American/Internet Bar del Pozzo, Pavia, Italy."
Gentleman's Club,"['Gin', 'Brandy', 'Sweet Vermouth', 'Club soda']","['1 1/2 oz ', '1 oz ', '1 oz ', '1 oz ']","In an old-fashioned glass almost filled with ice cubes, combine all of the ingredients. Stir well."
Gideon's Green Dinosaur,"['Dark rum', 'Vodka', 'Triple sec', 'Tequila', 'Melon liqueur', 'Mountain Dew']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', 'Fill with ']",Add all ingredients in collins glass with ice and stir.
Gin And Tonic,"['Gin', 'Tonic water', 'Lime']","['2 oz ', '5 oz ', '1 ']",Pour the gin and the tonic water into a highball glass almost filled with ice cubes. Stir well. Garnish with the lime wedge.
Gin Daisy,"['Gin', 'Lemon juice', 'Sugar', 'Grenadine', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1/2 tsp ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the wine, lemon juice, sugar, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the cherry and the orange slice."
Gin Fizz,"['Gin', 'Lemon', 'Powdered sugar', 'Carbonated water']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', nan]","Shake all ingredients with ice cubes, except soda water. Pour into glass. Top with soda water."
Gin Rickey,"['Gin', 'Grenadine', 'lemon', 'Soda Water', 'Lime']","['2 oz ', '1 tsp ', 'Juice of 1/2 ', 'Top up with', 'Garnish']",Half-fill a tall glass with ice. Mix the gin and Grenadine together and pour over the ice. Add the lime or lemon juice and top off with soda water. Decorate the glass with lime and/or lemon slices.
Gin Sling,"['Gin', 'Lemon', 'Powdered sugar', 'Water', 'Orange peel']","['2 oz ', 'Juice of 1/2 ', '1 tsp ', '1 tsp ', 'Twist of ']",Dissolve powdered sugar in mixture of water and juice of lemon. Add gin. Pour into an old-fashioned glass over ice cubes and stir. Add the twist of orange peel and serve.
Gin Smash,"['Gin', 'Carbonated water', 'Sugar', 'Mint', 'Orange', 'Cherry']","['2 oz ', '1 oz ', '1 cube ', '4 ', '1 slice ', '1 ']","Muddle sugar with carbonated water and mint sprigs in an old-fashioned glass. Add gin and 1 ice cube. Stir, add the orange slice and the cherry, and serve."
Gin Sour,"['Gin', 'Lemon juice', 'Sugar', 'Orange', 'Maraschino cherry']","['2 oz ', '1 oz ', '1/2 tsp superfine ', '1 ', '1 ']","In a shaker half-filled with ice cubes, combine the gin, lemon juice, and sugar. Shake well. Strain into a sour glass and garnish with the orange slice and the cherry."
Gin Swizzle,"['Lime juice', 'Sugar', 'Gin', 'Bitters', 'Club soda']","['1 1/2 oz ', '1 tsp superfine ', '2 oz ', '1 dash ', '3 oz ']","In a shaker half-filled with ice cubes, combine the lime juice, sugar, gin, and bitters. Shake well. Almost fill a colling glass with ice cubes. Stir until the glass is frosted. Strain the mixture in the shaker into the glass and add the club soda."
Gin Toddy,"['Gin', 'Water', 'Powdered sugar', 'Lemon peel']","['2 oz ', '2 tsp ', '1/2 tsp ', '1 twist of ']","Mix powdered sugar and water in an old-fashioned glass. Add gin and one ice cube. Stir, add the twist of lemon peel, and serve."
Girl From Ipanema,"['Cachaca', 'Lemon Juice', 'Agave Syrup', 'Champagne']","['25 ml', '15 ml', '10 ml', 'top up with']","Add the cachaca, lemon juice and syrup to your boston glass. Add ice and shake until ice cold. Pour into a chilled flute and top-up with Champagne"
Gluehwein,"['Red wine', 'Water', 'Sugar', 'Cinnamon', 'Cloves', 'Lemon peel']","['1 L ', '125 ml ', '60 gr ', '1 ', '3 ', '1 tblsp ']","Boil sugar and spices in water, leave in the water for 30 minutes. Strain the spiced water and mix with the wine. Heat slowly until short of boiling temperature. (To remove alcohol, let it boil for a while.) You may add lemon or orange juice to taste. Serve in irish coffee cup."
Godchild,"['Vodka', 'Amaretto', 'Heavy cream']","['1 oz ', '1 oz ', '1 oz ']","Shake all ingredients well with cracked ice, strain into a champagne flute, and serve."
Godfather,"['Scotch', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",Pour all ingredients directly into old fashioned glass filled with ice cubes. Stir gently.
Godmother,"['Vodka', 'Amaretto']","['1 1/2 oz ', '3/4 oz ']",Pour vodka and amaretto into an old-fashioned glass over ice and serve.
Golden dream,"['Galliano', 'Triple Sec', 'orange juice', 'Cream']","['2 parts', '2 parts', '2 parts', '1 part']",Shake with cracked ice. Strain into glass and serve.
Grand Blue,"['Malibu rum', 'Peach schnapps', 'Blue Curacao', 'Sweet and sour']","['1 1/2 cl ', '1 1/2 cl ', '1 1/2 cl ', '3 cl ']",Serve in an old fashioned glass.
Grape lemon pineapple Smoothie,"['Grapes', 'Lemon', 'Pineapple']","['1 cup ', '1/4 ', '1/2 ']",Throw everything into a blender and liquify.
Grass Skirt,"['Gin', 'Triple sec', 'Pineapple juice', 'Grenadine', 'Pineapple']","['1 1/2 oz ', '1 oz ', '1 oz ', '1/2 tsp ', '1 ']","In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice."
Grasshopper,"['Green Creme de Menthe', 'Creme de Cacao', 'Light cream']","['3/4 oz ', '3/4 oz white ', '3/4 oz ']",Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.
Green Goblin,"['Cider', 'Lager', 'Blue Curacao']","['1/2 pint hard ', '1/2 pint ', '1 shot ']","Cider First, Lager then Curacao"
Grim Reaper,"['Kahlua', '151 proof rum', 'Grenadine']","['1 oz ', '1 oz Bacardi ', '1 dash ']",Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.
Grizzly Bear,"['Amaretto', 'Jägermeister', 'Kahlua', 'Milk']","['1 part ', '1 part ', '1 part ', '2 1/2 parts ']","Served over ice. Sounds nasty, but tastes great."
Harvey Wallbanger,"['Vodka', 'Galliano', 'Orange juice']","['1 oz ', '1/2 oz ', '4 oz ']","Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve."
Havana Cocktail,"['Light rum', 'Pineapple juice', 'Lemon juice']","['1 oz ', '1 oz ', '1 tsp ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Hawaiian Cocktail,"['Gin', 'Triple sec', 'Pineapple juice']","['2 oz ', '1/2 oz ', '1 tblsp ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Hemingway Special,"['Rum', 'Grapefruit Juice', 'Maraschino Liqueur', 'Lime Juice']","['12 parts', '8 parts', '3 parts', '3 parts']",Pour all ingredients into a shaker with ice. Shake.
Herbal flame,"['Hot Damn', 'Tea']","['5 shots ', 'very sweet ']","Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in."
Highland Fling Cocktail,"['Scotch', 'Sweet Vermouth', 'Orange bitters', 'Olive']","['1 1/2 oz ', '3/4 oz ', '2 dashes ', '1 ']",Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.
Homemade Kahlua,"['Sugar', 'Corn syrup', 'Coffee', 'Vanilla extract', 'Water', 'Vodka']","['2 1/2 cups ', '1 cup ', '1 1/2 oz instant ', '2 oz ', '3 cups boiling ', '1 fifth ']","Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks."
Horse's Neck,"['Lemon peel', 'Brandy', 'Ginger ale', 'Bitters']","['1 long strip ', '2 oz ', '5 oz ', '2 dashes ']","Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter."
Hot Chocolate to Die for,"['Chocolate', 'Butter', 'Vanilla extract', 'Half-and-half', 'Marshmallows']","['12 oz fine ', '1 tsp ', '1/2 tsp ', '1 cup ', 'mini ']","Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream."
Hot Creamy Bush,"['Irish whiskey', ""Bailey's irish cream"", 'Coffee']","['1 shot ', '3/4 shot ', '6 oz hot ']",Combine all ingredients in glass
Ice Pick #1,"['Vodka', 'Iced tea', 'Lemon juice']","['1 1/2 oz ', '6 oz ', ' to taste\n']",Put Vodka in glass fill with iced tea. Stir in lemon to taste.
Iced Coffee,"['Coffee', 'Sugar', 'Water', 'Milk']","['1/4 cup instant ', '1/4 cup ', '1/4 cup hot ', '4 cups cold ']",Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.
Iced Coffee Fillip,"['Kahlua', 'Coffee']","['2 tsp ', 'Strong cold ']",Mix together in a coffee mug and chill before serving.
Imperial Cocktail,"['Lime juice', 'Gin', 'Aperol']","['4 cl ', '2 cl ', '4 cl ']",Shake with ice and strain into cocktail glass.
Ipamena,"['Lime', 'Brown sugar', 'Passion fruit juice', 'Ginger ale', 'Ice']","['½', '2 tsp', '4 cl', 'top up with', 'fill']","Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime"
Irish Coffee,"['Irish whiskey', 'Coffee', 'Sugar', 'Whipped cream']","['1 1/2 oz ', '8 oz ', '1 tsp ', '1 tblsp ']","Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot."
Irish Cream,"['Scotch', 'Half-and-half', 'Condensed milk', 'Coconut syrup', 'Chocolate syrup']","['1 cup ', '1 1/4 cup ', '1 can sweetened ', '3 drops ', '1 tblsp ']",Mix scotch and milk. Add half-and-half. Add rest.
Irish Curdling Cow,"[""Bailey's irish cream"", 'Bourbon', 'Vodka', 'Orange juice']","['3/4 oz ', '3/4 oz ', '3/4 oz ', '2-3 oz ']","Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice."
Irish Russian,"['Vodka', 'Kahlua', 'Coca-Cola', 'Guinness stout']","['1 shot ', '1 shot ', '1 dash ', 'Fill with ']",Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.
Irish Spring,"['Irish whiskey', 'Peach brandy', 'Orange juice', 'Sweet and sour', 'Orange', 'Cherry']","['1 oz ', '1/2 oz ', '1 oz ', '1 oz ', '1 slice ', '1 ']","Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve."
Jack Rose Cocktail,"['Apple brandy', 'Grenadine', 'Lime']","['1 1/2 oz ', '1 tsp ', 'Juice of 1/2 ']","Shake all ingredients with ice, strain into a cocktail glass, and serve."
Jack's Vanilla Coke,"['Ice', 'Tennessee whiskey', 'Vanilla extract', 'Coca-Cola']","['4-5 ', '2 oz ', '1 tsp ', '10-12 oz ']","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
Jackhammer,"['Jack Daniels', 'Amaretto']","['1 oz ', '1 oz ']","Serve over ice- Warning,Deadly!"
Jam Donut,"['Baileys irish cream', 'Chambord raspberry liqueur', 'Sugar syrup', 'Sugar']","['2/3 oz', '1/3 oz', '1 tsp', '2 pinches']","Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve."
Jello shots,"['Vodka', 'Jello', 'Water']","['2 cups ', '3 packages ', '3 cups ']","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
Jelly Bean,"['Blackberry brandy', 'Anis']","['1 oz ', '1 oz ']",mix equal parts in pony glass-tastes just like a jelly bean!
Jewel Of The Nile,"['Gin', 'Green Chartreuse', 'Yellow Chartreuse']","['1 1/2 oz ', '1/2 oz ', '1/2 oz ']","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Jitterbug,"['Gin', 'Vodka', 'Grenadine', 'Lime juice', 'Sugar', 'Sugar syrup', 'Soda water']","['2 jiggers ', '1 jigger ', '3 dashes ', '1 shot ', 'Around rim put 1 pinch ', '3 dashes ', 'Fill to top with ']","Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!"
John Collins,"['Bourbon', 'Lemon juice', 'Sugar', 'Club soda', 'Maraschino cherry', 'Orange']","['2 oz ', '1 oz ', '1 tsp superfine ', '3 oz ', '1 ', '1 ']",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
Kamikaze,"['Vodka', 'Triple sec', 'Lime juice']","['1 oz ', '1 oz ', '1 oz ']","Shake all ingredients together with ice. Strain into glass, garnish and serve."
Karsk,"['Coffee', 'Grain alcohol']","['1 part ', '2 parts ']","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
Kentucky B And B,"['Bourbon', 'Benedictine']","['2 oz ', '1/2 oz ']",Pour the bourbon and Benedictine into a brandy snifter.
Kentucky Colonel,"['Bourbon', 'Benedictine', 'Lemon peel']","['3 oz ', '1/2 oz ', '1 twist of ']",In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.
Kill the cold Smoothie,"['Ginger', 'Lemon', 'Water']","['1 inch ', '1/4 ', '1 cup hot ']",Juice ginger and lemon and add it to hot water. You may add cardomom.
Kir,"['Creme de Cassis', 'Champagne']","['1 part ', '5 parts ']","Add the crème de cassis to the bottom of the glass, then top up with wine."
Kir Royale,"['Creme de Cassis', 'Champagne']","['1 part ', '5 parts ']","Pour Creme de cassis in glass, gently pour champagne on top"
Kiss me Quick,"['Cranberry vodka', 'Apfelkorn', 'Schweppes Russchian', 'Apple juice', 'Ice']","['4 cl ', '2 cl ', '7 cl ', '8 cl ', ' cubes\n']",mix in the glass
Kiwi Lemon,"['Kiwi liqueur', 'Bitter lemon', 'Ice']","['1 part ', '2 parts ', ' cubes\n']",Mix in highball glass. Stirr. Garnish with slice of kiwi.
Kiwi Papaya Smoothie,"['Kiwi', 'Papaya']","['3 ', '1/2 ']",Throw everything into a blender and liquify.
Kool First Aid,"['151 proof rum', 'Kool-Aid']","['2 oz light ', '1/2 tsp Tropical ']","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
Kool-Aid Slammer,"['Kool-Aid', 'Vodka']","['1/2 oz Grape ', '1/2 oz ']","Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid."
Kurant Tea,"['Absolut Kurant', 'Tea', 'Sugar']","['4 cl ', 'Turkish apple ', ' (if needed)\n']","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
Lassi - A South Indian Drink,"['Yoghurt', 'Water', 'Cumin seed', 'Salt', 'Mint']","['1/2 cup plain ', '1 1/4 cup cold ', '1/2 tsp ground roasted ', '1/4 tsp ', '1/4 tsp dried ']","Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold."
Lassi - Mango,"['Mango', 'Yoghurt', 'Sugar', 'Water']","['2 ', '2 cups ', '1/2 cup ', '1 cup iced ']",Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.
Lassi - Sweet,"['Yoghurt', 'Water', 'Sugar', 'Salt', 'Lemon juice']","['1 cup ', '2 cups cold ', '4 tblsp ', 'pinch ', '2 tblsp ']",Put all ingredients into a blender and blend until nice and frothy. Serve chilled.
Lassi Khara,"['Yoghurt', 'Water', 'Salt', 'Asafoetida']","['1 cup ', '2 cups cold ', '1 tsp ', '1 pinch ']",Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.
Lemon Drop,"['Absolut Vodka', 'Cointreau', 'Lemon']","['1 1/2 shot ', '1 1/2 shot ', 'Juice of 1 wedge ']",Shake and strain into a chilled cocktail glass rimmed with sugar.
Lemon Shot,"['Galliano', 'Absolut Citron', 'Lemon', 'Sugar', '151 proof rum']","['1/2 oz ', '1/2 oz ', ' wedge\n', 'Bacardi ', ' ']","Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade."
Lemouroudji,"['Ginger', 'Water', 'Lemon', 'Sugar', 'Cayenne pepper']","['2 pieces ', '1 gal ', '1 lb ', '1 cup ', 'ground ']","Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve."
Limeade,"['Lime', 'Sugar', 'Soda water', 'Lime peel']","['Juice of 1 ', '1 tblsp ', ' (seltzer water)\n', ' ']","In a large glass, put the lime juice and sugar, and stir well. Add cold seltzer water to fill. Put the lime peels in the glass. Drink. Repeat until limes or soda run out."
Limona Corona,"['Corona', 'Bacardi Limon']","['1 bottle ', '1 oz ']","Open the Corona. Fill the empty space in the neck in the bottle with the rum. The bottle should be filled to the top. Plug the bottle with your thumb or the palm of your hand. Turn the bottle upside-down so the rum and beer mix. Turn the bottle rightside-up, unplug, and drink."
Loch Lomond,"['Scotch', 'Drambuie', 'Dry Vermouth', 'Lemon peel']","['2 oz ', '1/2 oz ', '1/2 oz ', '1 twist of ']","In a mixing glass half-filled with ice cubes, combine the Scotch, Drambuie, and vermouth. Stir well. Strain into a cocktail glass. Garnish with the lemon twist."
London Town,"['Gin', 'Maraschino liqueur', 'Orange bitters']","['1 1/2 oz ', '1/2 oz ', '2 dashes ']","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
Lone Tree Cocktail,"['Sweet Vermouth', 'Gin']","['3/4 oz ', '1 1/2 oz ']","Stir ingredients with ice, strain into a cocktail glass, and serve."
Long Island Iced Tea,"['Vodka', 'Tequila', 'Light rum', 'Gin', 'Coca-Cola', 'Lemon peel']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1 dash ', 'Twist of ']",Mix all contents in a highball glass and sitr gently. Add dash of Coca-Cola for the coloring and garnish with lemon or lime twist.
Long Island Tea,"['Vodka', 'Light rum', 'Gin', 'Tequila', 'Lemon', 'Coca-Cola']","['1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', 'Juice of 1/2 ', '1 splash ']",Combine all ingredients (except cola) and pour over ice in a highball glass. Add the splash of cola for color. Decorate with a slice of lemon and serve.
Long vodka,"['Vodka', 'Lime', 'Angostura bitters', 'Tonic water', 'Ice']","['5 cl ', '1/2 ', '4 dashes ', '1 dl Schweppes ', '4 ']","Shake a tall glass with ice cubes and Angostura, coating the inside of the glass. Por the vodka onto this, add 1 slice of lime and squeeze juice out of remainder, mix with tonic, stir and voila you have a Long Vodka"
Lord And Lady,"['Dark rum', 'Tia maria']","['1 1/2 oz ', '1/2 oz ']",Pour the rum and Tia Maria into an old-fashioned glass almost filled with ice cubes. Stir well.
Lunch Box,"['Beer', 'Amaretto', 'Orange juice']","['3/4 bottle ', '1 shot ', '1 oz ']",Fill a pint glass almost full with beer. Then fill the rest with orange juice (careful not to fill it to the top). Then take the shot of Amaretto and drop it in.
Mai Tai,"['Light rum', 'Orgeat syrup', 'Triple sec', 'Sweet and sour', 'Cherry']","['1 oz ', '1/2 oz ', '1/2 oz ', '1 1/2 oz ', '1 ']",Shake all ingredients with ice. Strain into glass. Garnish and serve with straw.
Malibu Twister,"['Malibu rum', 'Tropicana', 'Cranberry juice']","['2 parts ', '2 parts ', '1 part ']","Add rum & trister then, add cranberry jucie,stir"
Mango Orange Smoothie,"['Mango', 'Orange']","['1 ', '2 ']",Throw everything into a blender and liquify.
Manhattan,"['Sweet Vermouth', 'Bourbon', 'Angostura bitters', 'Ice', 'Maraschino cherry', 'Orange peel']","['3/4 oz ', '2 1/2 oz Blended ', 'dash ', '2 or 3 ', '1 ', '1 twist of ']","Stirred over ice, strained into a chilled glass, garnished, and served up."
Margarita,"['Tequila', 'Triple sec', 'Lime juice', 'Salt']","['1 1/2 oz ', '1/2 oz ', '1 oz ', nan]","Rub the rim of the glass with the lime slice to make the salt stick to it. Take care to moisten only the outer rim and sprinkle the salt on it. The salt should present to the lips of the imbiber and never mix into the cocktail. Shake the other ingredients with ice, then carefully pour into the glass."
Martinez Cocktail,"['Gin', 'Dry Vermouth', 'Triple sec', 'Orange bitters', 'Cherry']","['1 oz ', '1 oz ', '1/4 tsp ', '1 dash ', '1 ']",Stir all ingredients (except cherry) with ice and strain into a cocktail glass. Top with the cherry and serve.
Martini,"['Gin', 'Dry Vermouth', 'Olive']","['1 2/3 oz ', '1/3 oz ', '1 ']","Straight: Pour all ingredients into mixing glass with ice cubes. Stir well. Strain in chilled martini cocktail glass. Squeeze oil from lemon peel onto the drink, or garnish with olive."
Mary Pickford,"['Light rum', 'Pineapple juice', 'Maraschino liqueur', 'Grenadine', 'Maraschino cherry']","['1 1/2 oz ', '1 oz ', '1/2 tsp ', '1/2 tsp ', '1 ']",Shake and strain into a chilled large cocktail glass
Masala Chai,"['Water', 'Tea', 'Ginger', 'Cardamom', 'Cloves', 'Cinnamon', 'Black pepper', 'Sugar', 'Milk']","['2 cups ', '3-4 tsp ', '1 chunk dried ', '3-4 crushed ', '3 ', '1 piece ', '1-2 whole ', ' to taste\n', ' ']",Bring 2 cups of water to boil. Add all the ingredients and boil again for about 15 seconds. Let stand for a minute. Warm milk in a pot. Filter tea into cups. Add milk and sugar. That's IT.
Miami Vice,"['151 proof rum', 'Pina colada mix', 'Daiquiri mix']","['5 oz Bacardi ', 'frozen ', 'frozen ']","First: Mix pina colada with 2.5 oz. of rum with ice(set aside). Second: Mix daiquiri with 2.5 oz. of rum with ice. Third: While frozen, add pina colda mix then daiquiri mix in glass (Making sure they do not get mixed together)."
Microwave Hot Cocoa,"['Sugar', 'Cocoa powder', 'Salt', 'Water', 'Milk', 'Vanilla extract']","['5 tblsp ', '3 tblsp ', '1 dash ', '3 tblsp hot ', '2 cups ', '1/4 tsp ']","Combine sugar, cocoa, salt and hot water in 1-quart micro-proof measuring cup (or coffee mug). Microwave at HIGH (100%) for 1 to 1 1/2 minutes or until boiling. Add milk, sitr and microwave an additonal 1 1/2 to 2 minutes or until hot. Stir in vanilla, blend well."
Midnight Cowboy,"['Bourbon', 'Dark rum', 'Heavy cream']","['2 oz ', '1 oz ', '1/2 oz ']","In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass."
Midnight Manx,"['Kahlua', ""Bailey's irish cream"", 'Goldschlager', 'Heavy cream', 'Coffee']","['1 oz ', '1 oz ', 'dash ', '2 oz ', '2 oz Hazlenut ']","Fill a mixer with ice and add Baileys, Kahlua, Goldshlager, and cream. Shake for 5 seconds and Strain into a double rocks glass filled with ice. Add chilled coffee Stir and enjoy!"
Midnight Mint,"[""Bailey's irish cream"", 'White Creme de Menthe', 'Cream']","['1 oz ', '3/4 oz ', '3/4 oz double ']","If available, rim cocktail (Martini) glass with sugar syrup then dip into chocolate flakes or powder. Add ingredients into shaker with ice. Shake well then strain into cocktail glass."
Mimosa,"['Champagne', 'Orange juice']","['Chilled ', '2 oz ']","Ensure both ingredients are well chilled, then mix into the glass. Serve cold."
Mojito,"['Light rum', 'Lime', 'Sugar', 'Mint', 'Soda water']","['2-3 oz ', 'Juice of 1 ', '2 tsp ', '2-4 ', nan]",Muddle mint leaves with sugar and lime juice. Add a splash of soda water and fill the glass with cracked ice. Pour the rum and top with soda water. Garnish and serve with straw.
Mojito #3,"['Mint', 'Lemon juice', 'Dark rum', 'Club soda', 'Angostura bitters']","['1/2 handful ', '3 cl ', '1/8 L Jamaican ', '1/8 L ', '8 drops ']","Put mint with lemon juice in a glas, mash the mint with a spoon, ice, rum & fill up with club soda. Top it with Angostura."
Monkey Gland,"['Gin', 'Benedictine', 'Orange juice', 'Grenadine']","['2 oz ', '1 tsp ', '1/2 oz ', '1 tsp ']","Shake well over ice cubes in a shaker, strain into a chilled cocktail glass."
Monkey Wrench,"['Light rum', 'Grapefruit juice', 'Bitters']","['1 1/2 oz ', '3 oz ', '1 dash ']",Pour all of the ingredients into an old-fashioned glass almost filled with ice cubes. Stir well.
Moranguito,"['Absinthe', 'Tequila', 'Grenadine']","['2/5 ', '2/5 ', '1/5 ']","first you put rhe absinthe, then put tequila, then put the Granadine syrup."
Moscow Mule,"['Vodka', 'Lime juice', 'Ginger ale']","['2 oz ', '2 oz ', '8 oz ']",Combine vodka and ginger beer in a highball glass filled with ice. Add lime juice. Stir gently. Garnish.
Mother's Milk,"['Goldschlager', 'Butterscotch schnapps', 'Milk']","['1 oz ', '1 oz ', '1 oz ']","Shake over ice, strain. Serves two."
Mudslinger,"['Southern Comfort', 'Orange juice', 'Pepsi Cola']","['750 ml ', '1 L ', '750 ml ']",Add all contents to a large jug or punch bowl. Stir well!
